Last Name/Surname	Total1	Asian and Pacific Islander2	Percentage3	Rank4	U.S. Rank5
HOSSAIN	5,978	5,573	93.23%	271	5,788
YIM	6,144	5,562	90.53%	272	5,650
JACOB	24,688	5,562	22.53%	273	1,444
LUI	6,156	5,552	90.19%	274	5,641
CHAUDHRY	6,084	5,510	90.57%	275	5,697
SANTIAGO	122,212	5,500	4.50%	276	248
DAVIS	1,116,357	5,470	0.49%	277	8
THACH	6,229	5,451	87.51%	278	5,578
TOM	10,350	5,437	52.53%	279	3,452
SHAIKH	6,063	5,433	89.61%	280	5,722
GONG	6,079	5,403	88.88%	281	5,702
HUI	5,769	5,394	93.50%	282	5,966
KWONG	5,637	5,352	94.94%	283	6,084
QUAN	6,451	5,335	82.70%	284	5,397
LEW	7,410	5,298	71.50%	285	4,775
MAO	5,565	5,274	94.77%	286	6,153
WAN	5,831	5,246	89.97%	287	5,911
GU	5,532	5,243	94.78%	288	6,183
JEONG	5,404	5,231	96.80%	289	6,315
KWOK	5,458	5,221	95.66%	290	6,257
SATO	7,095	5,218	73.54%	291	4,956
SHRESTHA	5,535	5,212	94.16%	292	6,180
RAMIREZ	557,423	5,184	0.93%	293	28
MOHAMMED	15,132	5,183	34.25%	294	2,395
ROY	53,159	5,151	9.69%	295	640
AGARWAL	5,436	5,129	94.35%	296	6,285
DIZON	5,924	5,094	85.99%	297	5,837
IQBAL	5,764	5,092	88.34%	298	5,970
VERMA	5,506	5,076	92.19%	299	6,211
UDDIN	5,639	5,042	89.41%	300	6,079
LING	9,127	5,038	55.20%	301	3,887
SORIANO	25,916	5,038	19.44%	302	1,361
TOLENTINO	11,371	5,033	44.26%	303	3,180
LUM	8,060	4,992	61.94%	304	4,406
BHATT	5,349	4,988	93.25%	305	6,363
CHING	7,417	4,978	67.12%	306	4,772
LAO	5,897	4,957	84.06%	307	5,856
YOU	5,234	4,948	94.54%	308	6,486
WATANABE	6,204	4,926	79.40%	309	5,605
DHILLON	5,371	4,914	91.49%	310	6,346
PAUL	78,256	4,891	6.25%	311	415
ZHONG	4,991	4,890	97.98%	312	6,754
DELROSARIO	8,402	4,865	57.90%	313	4,218
WILSON	801,882	4,811	0.60%	314	14
ANDERSON	784,404	4,785	0.61%	315	15
RAI	5,295	4,765	89.99%	316	6,418
TSENG	4,994	4,736	94.83%	317	6,751
GEE	23,241	4,695	20.20%	318	1,547
ARORA	5,043	4,661	92.43%	319	6,697
SHIH	4,935	4,644	94.10%	320	6,833
IM	4,887	4,638	94.90%	321	6,880
DING	4,973	4,633	93.16%	322	6,784
SHEIKH	6,462	4,628	71.62%	323	5,384
FRANCISCO	24,095	4,578	19.00%	324	1,481
LAW	32,122	4,568	14.22%	325	1,089
MAK	5,170	4,525	87.52%	326	6,555
YEN	5,066	4,515	89.12%	327	6,671
PASCUAL	11,959	4,475	37.42%	328	2,998
KOO	4,923	4,466	90.72%	329	6,843
REN	5,247	4,434	84.51%	330	6,470
DAI	4,723	4,431	93.82%	331	7,091
HASAN	9,374	4,426	47.22%	332	3,775
SUZUKI	5,274	4,394	83.31%	333	6,438
ZOU	4,493	4,389	97.69%	334	7,408
NI	4,624	4,388	94.90%	335	7,217
QIU	4,424	4,345	98.21%	336	7,520
KULKARNI	4,506	4,320	95.87%	337	7,390
SIDHU	4,795	4,303	89.74%	338	6,987
SIM	6,047	4,298	71.08%	339	5,732
SHIM	4,958	4,296	86.65%	340	6,801
HOU	4,500	4,257	94.60%	341	7,395
WENG	4,680	4,216	90.09%	342	7,145
TAYLOR	751,209	4,207	0.56%	343	17
SIU	4,877	4,197	86.06%	344	6,892
VALDEZ	124,995	4,187	3.35%	345	244
HASSAN	21,801	4,186	19.20%	346	1,652
KU	4,888	4,170	85.31%	347	6,877
POON	4,564	4,167	91.30%	348	7,308
MERCADO	60,761	4,162	6.85%	349	555
UNG	4,519	4,148	91.79%	350	7,369
DIAZ	347,636	4,137	1.19%	351	55
SRINIVASAN	4,317	4,135	95.78%	352	7,691
CORPUZ	5,176	4,132	79.83%	353	6,542
MISHRA	4,372	4,122	94.28%	354	7,601
SOK	4,569	4,121	90.19%	355	7,295
VONG	4,443	4,115	92.62%	356	7,496
BHATIA	4,515	4,115	91.14%	357	7,381
GUTIERREZ	293,218	4,105	1.40%	358	67
JEON	4,253	4,090	96.17%	359	7,791
TON	4,667	4,070	87.21%	360	7,167
MAHMOOD	5,384	4,068	75.56%	361	6,335
SAM	12,053	4,065	33.73%	362	2,974
NAVARRO	99,807	4,032	4.04%	363	315
TAKAHASHI	4,928	4,019	81.55%	364	6,839
OU	4,196	4,012	95.61%	365	7,891
TUNG	4,411	3,980	90.23%	366	7,536
WON	4,309	3,968	92.09%	367	7,702
TAO	4,286	3,967	92.56%	368	7,747
CHOY	5,254	3,952	75.22%	369	6,467
JOSE	10,697	3,949	36.92%	370	3,348
MIRANDA	93,628	3,942	4.21%	371	330
KWAK	4,652	3,940	84.69%	372	7,184
GREWAL	4,270	3,934	92.13%	373	7,772
CHUA	4,309	3,927	91.13%	374	7,702
HOM	4,863	3,927	80.75%	375	6,906
JI	4,039	3,914	96.91%	376	8,216
AKHTAR	4,260	3,826	89.81%	377	7,785
JUN	4,059	3,823	94.19%	378	8,164
YAP	4,590	3,794	82.66%	379	7,261
TAI	4,401	3,793	86.18%	380	7,553
THOMPSON	664,644	3,788	0.57%	381	23
GO	4,370	3,785	86.61%	382	7,607
DAVE	5,218	3,772	72.29%	383	6,504
CHEA	4,492	3,754	83.57%	384	7,411
OCAMPO	25,720	3,745	14.56%	385	1,374
SHETH	4,038	3,739	92.60%	386	8,217
RHEE	4,071	3,735	91.75%	387	8,141
IYER	3,956	3,726	94.19%	388	8,369
SINHA	4,066	3,709	91.22%	389	8,155
KUANG	3,767	3,706	98.38%	390	8,712
GOMEZ	365,655	3,693	1.01%	391	51
MORALES	311,777	3,679	1.18%	392	63
SAMUEL	23,125	3,644	15.76%	393	1,558
MEDINA	188,497	3,619	1.92%	394	133
ZHEN	3,661	3,611	98.63%	395	8,941
KRISHNAN	3,810	3,608	94.70%	396	8,631
IGNACIO	6,219	3,602	57.92%	397	5,594
XIA	3,693	3,596	97.37%	398	8,867
ITO	4,344	3,586	82.55%	399	7,644
SHAO	3,741	3,567	95.35%	400	8,765
MATSUMOTO	4,486	3,554	79.22%	401	7,421
MIRZA	4,831	3,542	73.32%	402	6,940
CHEW	8,905	3,535	39.70%	403	3,988
MANUEL	27,529	3,535	12.84%	404	1,277
YAMADA	4,467	3,520	78.80%	405	7,461
FERNANDO	5,596	3,514	62.79%	406	6,123
ANAND	3,798	3,497	92.07%	407	8,651
MOORE	724,374	3,477	0.48%	408	18
VELASCO	33,078	3,476	10.51%	409	1,061
MUI	3,752	3,476	92.64%	410	8,743
LOW	12,032	3,468	28.82%	411	2,979
TRIVEDI	3,671	3,463	94.33%	412	8,917
CHIEN	3,756	3,455	91.99%	413	8,732
MISTRY	3,710	3,452	93.05%	414	8,832
BHATTI	3,919	3,437	87.70%	415	8,430
LIEU	3,612	3,435	95.10%	416	9,045
MO	3,983	3,417	85.79%	417	8,320
SAINI	3,711	3,410	91.89%	418	8,828
TIAN	3,547	3,406	96.02%	419	9,195
DEJESUS	44,038	3,400	7.72%	420	783
JAVIER	9,226	3,385	36.69%	421	3,838
JIMENEZ	227,118	3,384	1.49%	422	100
KAPOOR	3,794	3,338	87.98%	423	8,663
SIN	3,725	3,337	89.58%	424	8,797
CUI	3,520	3,336	94.77%	425	9,251
GHOSH	3,666	3,333	90.92%	426	8,928
UY	3,633	3,318	91.33%	427	9,003
PANDYA	3,512	3,316	94.42%	428	9,271
GURUNG	3,450	3,297	95.57%	429	9,427
CHON	3,643	3,289	90.28%	430	8,981
SUBRAMANIAN	3,443	3,282	95.32%	431	9,449
DEVERA	4,386	3,279	74.76%	432	7,575
ENRIQUEZ	41,271	3,269	7.92%	433	837
MENG	5,729	3,266	57.01%	434	6,001
CHOUDHURY	3,530	3,264	92.46%	435	9,226
TRIEU	3,451	3,251	94.20%	436	9,426
SILVA	161,633	3,249	2.01%	437	163
LAL	3,997	3,247	81.24%	438	8,288
WHITE	660,491	3,236	0.49%	439	24
BHAKTA	3,359	3,221	95.89%	440	9,664
RASHID	6,504	3,221	49.52%	441	5,353
YOSHIDA	4,113	3,212	78.09%	442	8,046
FERRER	17,057	3,212	18.83%	443	2,123
PINEDA	60,820	3,211	5.28%	444	553
SY	4,457	3,204	71.89%	445	7,473
GONZALEZ	841,025	3,196	0.38%	446	13
TENG	3,433	3,192	92.98%	447	9,473
KOH	3,595	3,187	88.65%	448	9,090
ANGELES	14,128	3,184	22.54%	449	2,559
XUE	3,248	3,179	97.88%	450	9,932
KHANG	3,411	3,173	93.02%	451	9,529
AGRAWAL	3,344	3,171	94.83%	452	9,701
YUNG	4,218	3,169	75.13%	453	7,849
PASCUA	4,321	3,167	73.29%	454	7,684
KATO	5,257	3,167	60.24%	455	6,461
JAMES	249,379	3,167	1.27%	456	85
ANTONIO	15,461	3,166	20.48%	457	2,358
HENG	3,819	3,158	82.69%	458	8,611
KIMURA	4,059	3,156	77.75%	459	8,164
ZAMAN	3,694	3,122	84.52%	460	8,865
KOBAYASHI	3,845	3,115	81.01%	461	8,568
QIAN	3,173	3,111	98.05%	462	10,167
PAREKH	3,316	3,110	93.79%	463	9,770
BANG	4,676	3,094	66.17%	464	7,153
CHANDRA	3,645	3,077	84.42%	465	8,977
SONI	3,437	3,067	89.23%	466	9,466
SRIVASTAVA	3,251	3,064	94.25%	467	9,928
ESPIRITU	4,438	3,064	69.04%	468	7,502
AGUILAR	186,512	3,059	1.64%	469	134
JO	3,588	3,058	85.23%	470	9,108
MARQUEZ	107,533	3,043	2.83%	471	287
CLARK	562,679	3,038	0.54%	472	27
VYAS	3,259	3,031	93.00%	473	9,912
KARIM	5,729	3,025	52.80%	474	6,001
SULTANA	3,471	3,024	87.12%	475	9,373
MANN	83,510	3,015	3.61%	476	378
CHAI	3,619	3,014	83.28%	477	9,030
SHUKLA	3,176	3,004	94.58%	478	10,159
SALVADOR	13,021	2,997	23.02%	479	2,772
RIZVI	3,322	2,993	90.10%	480	9,756
TSUI	3,168	2,993	94.48%	481	10,180
THAKKAR	3,157	2,990	94.71%	482	10,204
MOHAN	6,188	2,978	48.13%	483	5,616
LEWIS	531,781	2,978	0.56%	484	29
CORTEZ	101,694	2,969	2.92%	485	310
DHALIWAL	3,187	2,955	92.72%	486	10,107
AGUSTIN	6,375	2,954	46.34%	487	5,458
RUAN	3,676	2,953	80.33%	488	8,907
CABRERA	83,621	2,943	3.52%	489	376
SISON	3,617	2,942	81.34%	490	9,033
DELOSREYES	5,177	2,936	56.71%	491	6,540
HARRIS	624,252	2,934	0.47%	492	25
EVANGELISTA	8,964	2,919	32.56%	493	3,967
BAIG	3,423	2,911	85.04%	494	9,496
PHILIP	5,832	2,903	49.78%	495	5,910
MALHOTRA	3,206	2,901	90.49%	496	10,046
SAITO	4,367	2,900	66.41%	497	7,613
ANG	3,413	2,873	84.18%	498	9,525
BAI	3,148	2,873	91.26%	499	10,237
ANSARI	4,679	2,868	61.30%	500	7,148
REH	3,734	2,855	76.46%	501	8,780
NAIK	3,047	2,851	93.57%	502	10,528
BAEK	2,990	2,850	95.32%	503	10,689
GARG	3,008	2,849	94.71%	504	10,641
CHACKO	3,266	2,848	87.20%	505	9,899
NELSON	424,958	2,847	0.67%	506	43
KEO	3,223	2,843	88.21%	507	10,001
MANALO	3,571	2,842	79.59%	508	9,139
DELOSSANTOS	19,131	2,837	14.83%	509	1,880
GUERRERO	128,677	2,831	2.20%	510	234
GIANG	2,909	2,824	97.08%	511	10,947
MARIANO	9,091	2,821	31.03%	512	3,904
KUNG	3,113	2,820	90.59%	513	10,348
ASUNCION	4,042	2,816	69.67%	514	8,209
JOO	3,121	2,809	90.00%	515	10,324
YAU	3,033	2,807	92.55%	516	10,565
RAZA	3,392	2,803	82.64%	517	9,583
MODI	3,085	2,794	90.57%	518	10,429
PERSON	67,411	2,791	4.14%	519	496
HAM	16,980	2,786	16.41%	520	2,133
DSOUZA	3,417	2,780	81.36%	521	9,511
HIGA	3,940	2,778	70.51%	522	8,398
CHAUHAN	2,975	2,775	93.28%	523	10,731
SARMIENTO	13,710	2,768	20.19%	524	2,631
JACKSON	708,099	2,762	0.39%	525	19
ADHIKARI	2,889	2,746	95.05%	526	11,010
MOMIN	2,935	2,735	93.19%	527	10,851
TING	3,103	2,718	87.59%	528	10,382
ALVAREZ	233,983	2,714	1.16%	529	92
ROMERO	208,614	2,712	1.30%	530	115
MAN	4,010	2,706	67.48%	531	8,266
REHMAN	3,311	2,690	81.24%	532	9,784
MENON	2,938	2,681	91.25%	533	10,837
SITU	2,732	2,668	97.66%	534	11,512
PAL	3,844	2,666	69.35%	535	8,570
LAY	18,468	2,661	14.41%	536	1,957
KAM	3,749	2,660	70.95%	537	8,749
KHANNA	3,049	2,643	86.68%	538	10,520
CONCEPCION	12,332	2,642	21.42%	539	2,909
MAR	5,375	2,641	49.13%	540	6,342
PARMAR	2,912	2,634	90.45%	541	10,931
PATIL	2,790	2,628	94.19%	542	11,318
PERALTA	36,585	2,627	7.18%	543	949
RYU	2,723	2,614	96.00%	544	11,543
QIN	2,664	2,609	97.94%	545	11,759
ALLEN	482,607	2,606	0.54%	546	33
HALL	407,076	2,605	0.64%	547	45
BUTT	7,020	2,599	37.02%	548	5,007
HTOO	2,681	2,593	96.72%	549	11,688
CHOPRA	2,897	2,586	89.26%	550	10,979
RAY	133,171	2,584	1.94%	551	220
SALAZAR	152,703	2,581	1.69%	552	179
ANCHETA	3,661	2,579	70.45%	553	8,941
DANIEL	80,526	2,545	3.16%	554	396
SASAKI	3,206	2,540	79.23%	555	10,046
AZIZ	6,740	2,538	37.66%	556	5,187
ALEXANDER	204,621	2,537	1.24%	557	118
OSHIRO	3,177	2,534	79.76%	558	10,155
HSIAO	2,666	2,532	94.97%	559	11,751
HAQUE	2,778	2,524	90.86%	560	11,355
CHAUDHARY	2,752	2,521	91.61%	561	11,443
LAN	3,262	2,520	77.25%	562	9,910
SENG	4,563	2,502	54.83%	563	7,311
BANERJEE	2,723	2,495	91.63%	564	11,543
CHAE	2,628	2,491	94.79%	565	11,914
FERNANDES	18,018	2,483	13.78%	566	2,007
KAN	3,005	2,482	82.60%	567	10,647
WIN	2,820	2,482	88.01%	568	11,209
LOO	3,645	2,482	68.09%	569	8,977
QU	2,593	2,476	95.49%	570	12,035
CHUANG	2,603	2,475	95.08%	571	11,998
SZETO	2,599	2,474	95.19%	572	12,012
BAINS	3,377	2,471	73.17%	573	9,621
ZAIDI	2,851	2,469	86.60%	574	11,122
LEGASPI	3,520	2,468	70.11%	575	9,251
MOK	2,707	2,463	90.99%	576	11,597
RUIZ	238,234	2,454	1.03%	577	89
ROBINSON	529,821	2,437	0.46%	578	30
ACHARYA	2,575	2,433	94.49%	579	12,101
DAM	3,186	2,427	76.18%	580	10,114
YONG	3,123	2,419	77.46%	581	10,316
LIAN	2,995	2,407	80.37%	582	10,678
BAO	2,643	2,406	91.03%	583	11,843
PAIK	2,774	2,396	86.37%	584	11,371
