CASILLAS	22,710	21,359	94.05%	288	1,579
ORNELAS	22,969	21,359	92.99%	289	1,568
TELLEZ	22,494	21,315	94.76%	290	1,595
QUINTANILLA	22,581	20,975	92.89%	291	1,586
WILSON	801,882	20,929	2.61%	292	14
ALEMAN	22,927	20,907	91.19%	293	1,571
OCAMPO	25,720	20,854	81.08%	294	1,374
PRADO	23,436	20,823	88.85%	295	1,533
PINA	25,293	20,819	82.31%	296	1,403
CARBAJAL	21,838	20,676	94.68%	297	1,646
VALADEZ	21,859	20,648	94.46%	298	1,645
OJEDA	22,045	20,645	93.65%	299	1,633
GODINEZ	21,640	20,606	95.22%	300	1,665
ARREOLA	21,540	20,506	95.20%	301	1,673
RODRIQUEZ	22,892	20,470	89.42%	302	1,572
CUELLAR	22,324	20,451	91.61%	303	1,609
AMADOR	22,370	20,070	89.72%	304	1,603
FONSECA	25,863	20,062	77.57%	305	1,363
PAGAN	23,474	19,859	84.60%	306	1,528
HIDALGO	23,134	19,847	85.79%	307	1,556
SOTELO	21,455	19,824	92.40%	308	1,679
VENEGAS	20,851	19,798	94.95%	309	1,722
ESCAMILLA	20,958	19,763	94.30%	310	1,715
BETANCOURT	21,663	19,750	91.17%	311	1,664
ZARATE	20,992	19,581	93.28%	312	1,713
YBARRA	22,211	19,559	88.06%	313	1,619
PATINO	21,113	19,468	92.21%	314	1,705
THOMAS	756,142	19,206	2.54%	315	16
ANDERSON	784,404	19,139	2.44%	316	15
LUJAN	22,021	18,991	86.24%	317	1,637
MARRERO	21,109	18,846	89.28%	318	1,706
POLANCO	19,688	18,674	94.85%	319	1,820
ESCALANTE	20,626	18,613	90.24%	320	1,736
OTERO	20,937	18,609	88.88%	321	1,716
MARROQUIN	19,661	18,595	94.58%	322	1,822
ARTEAGA	19,410	18,556	95.60%	323	1,848
TAYLOR	751,209	18,480	2.46%	324	17
OLIVAS	20,106	18,439	91.71%	325	1,785
VALDES	20,527	18,390	89.59%	326	1,745
LINARES	19,688	18,351	93.21%	327	1,820
ARRIAGA	19,236	18,263	94.94%	328	1,865
RENDON	20,143	18,225	90.48%	329	1,778
FELICIANO	21,667	18,211	84.05%	330	1,662
CASAS	19,777	18,205	92.05%	331	1,813
SEPULVEDA	19,851	18,182	91.59%	332	1,810
SORIANO	25,916	18,118	69.91%	333	1,361
GALVEZ	20,425	17,988	88.07%	334	1,754
LEDESMA	20,311	17,953	88.39%	335	1,768
BANUELOS	18,636	17,915	96.13%	336	1,939
BRITO	21,007	17,810	84.78%	337	1,711
JACKSON	708,099	17,702	2.50%	338	19
BARRIENTOS	18,877	17,693	93.73%	339	1,905
ZARAGOZA	18,908	17,683	93.52%	340	1,897
PRIETO	19,520	17,586	90.09%	341	1,833
ARANDA	19,298	17,519	90.78%	342	1,861
MONDRAGON	18,620	17,458	93.76%	343	1,941
VALLEJO	19,117	17,437	91.21%	344	1,881
COVARRUBIAS	18,189	17,420	95.77%	345	1,985
NAJERA	18,340	17,414	94.95%	346	1,971
MENA	19,522	17,398	89.12%	347	1,832
CHAVARRIA	18,492	17,307	93.59%	348	1,953
SAAVEDRA	18,834	17,301	91.86%	349	1,910
PULIDO	18,942	17,199	90.80%	350	1,894
MATOS	21,258	17,162	80.73%	351	1,696
BARRAZA	18,030	17,141	95.07%	352	2,004
ALARCON	18,805	17,139	91.14%	353	1,917
ARCE	19,464	17,068	87.69%	354	1,844
JAIMES	17,573	17,016	96.83%	355	2,050
CEJA	17,423	16,960	97.34%	356	2,078
MOORE	724,374	16,950	2.34%	357	18
ARGUETA	17,540	16,866	96.16%	358	2,054
NEGRON	18,413	16,767	91.06%	359	1,963
ORDONEZ	18,498	16,691	90.23%	360	1,952
GAMBOA	19,577	16,584	84.71%	361	1,829
CERDA	17,703	16,554	93.51%	362	2,035
THOMPSON	664,644	16,550	2.49%	363	23
VALENTIN	19,211	16,479	85.78%	364	1,868
SALCEDO	18,387	16,432	89.37%	365	1,967
HEREDIA	17,506	16,424	93.82%	366	2,061
CORNEJO	17,591	16,405	93.26%	367	2,045
ALCALA	17,758	16,277	91.66%	368	2,029
ALONZO	20,367	16,239	79.73%	369	1,758
MOYA	18,071	16,137	89.30%	370	2,001
MIRELES	17,186	16,062	93.46%	371	2,105
SALDIVAR	17,250	16,037	92.97%	372	2,097
CAVAZOS	17,361	16,033	92.35%	373	2,084
PIMENTEL	21,579	16,014	74.21%	374	1,671
LONGORIA	17,818	15,970	89.63%	375	2,025
ANGUIANO	16,479	15,764	95.66%	376	2,208
WHITE	660,491	15,720	2.38%	377	24
NEVAREZ	16,607	15,687	94.46%	378	2,188
CRESPO	17,629	15,662	88.84%	379	2,042
ZAMBRANO	17,092	15,622	91.40%	380	2,117
BALDERAS	16,576	15,613	94.19%	381	2,196
CAZARES	16,134	15,582	96.58%	382	2,254
RINCON	16,455	15,555	94.53%	383	2,215
ONTIVEROS	16,382	15,438	94.24%	384	2,225
ESPINAL	15,924	15,368	96.51%	385	2,289
ALANIZ	16,596	15,325	92.34%	386	2,189
TOLEDO	19,474	15,272	78.42%	387	1,841
CORRAL	16,808	15,210	90.49%	388	2,158
TORREZ	16,795	15,183	90.40%	389	2,160
DELOSSANTOS	19,131	15,117	79.02%	390	1,880
ROBLEDO	16,001	15,116	94.47%	391	2,277
MONTANEZ	16,281	15,102	92.76%	392	2,240
BUSTOS	17,040	15,024	88.17%	393	2,129
ADAME	16,193	14,996	92.61%	394	2,250
PALMA	20,636	14,967	72.53%	395	1,735
VALDIVIA	15,895	14,962	94.13%	396	2,293
ABREU	17,998	14,935	82.98%	397	2,008
HOLGUIN	16,090	14,877	92.46%	398	2,260
FRIAS	16,911	14,843	87.77%	399	2,144
ACUNA	16,683	14,726	88.27%	400	2,179
VIDAL	18,677	14,689	78.65%	401	1,933
HENRIQUEZ	15,657	14,685	93.79%	402	2,329
MONTERO	17,314	14,661	84.68%	403	2,090
CARRERA	16,533	14,610	88.37%	404	2,203
BUENO	16,936	14,594	86.17%	405	2,140
CEBALLOS	15,515	14,586	94.01%	406	2,350
BATISTA	18,323	14,567	79.50%	407	1,974
DELGADILLO	15,123	14,554	96.24%	408	2,399
ESPINO	15,997	14,536	90.87%	409	2,278
CLARK	562,679	14,517	2.58%	410	27
PANTOJA	15,249	14,506	95.13%	411	2,383
OLIVA	19,513	14,418	73.89%	412	1,835
NEGRETE	15,245	14,371	94.27%	413	2,384
NARANJO	15,658	14,340	91.58%	414	2,328
APONTE	15,828	14,339	90.59%	415	2,305
ELIZONDO	15,419	14,309	92.80%	416	2,365
CHAPA	15,865	14,305	90.17%	417	2,297
SOLORZANO	15,045	14,297	95.03%	418	2,412
AQUINO	25,783	14,217	55.14%	419	1,368
URBINA	15,055	14,110	93.72%	420	2,409
HARRIS	624,252	14,108	2.26%	421	25
GAYTAN	14,647	14,107	96.31%	422	2,460
RESENDIZ	14,457	14,026	97.02%	423	2,500
ALMANZA	14,708	13,940	94.78%	424	2,454
PUENTE	14,966	13,939	93.14%	425	2,420
TAMAYO	16,474	13,912	84.45%	426	2,210
ROBINSON	529,821	13,828	2.61%	427	30
LEWIS	531,781	13,720	2.58%	428	29
MONROY	14,673	13,688	93.29%	429	2,456
TEJEDA	14,240	13,673	96.02%	430	2,541
ARMENTA	15,078	13,647	90.51%	431	2,406
TEJADA	14,903	13,562	91.00%	432	2,432
PERALES	14,593	13,557	92.90%	433	2,467
FARIAS	16,153	13,391	82.90%	434	2,252
GIRON	15,786	13,390	84.82%	435	2,311
VILLASENOR	14,180	13,360	94.22%	436	2,548
LIRA	14,758	13,326	90.30%	437	2,447
COLLAZO	14,369	13,208	91.92%	438	2,521
NORIEGA	14,559	13,186	90.57%	439	2,477
LIMON	14,472	13,154	90.89%	440	2,496
LEE	693,023	13,098	1.89%	441	21
MOJICA	14,737	13,086	88.80%	442	2,450
SOLORIO	13,537	12,993	95.98%	443	2,663
CENTENO	14,510	12,986	89.50%	444	2,488
ARAUJO	18,856	12,933	68.59%	445	1,908
BANDA	15,055	12,913	85.77%	446	2,409
RODRIGUES	31,280	12,906	41.26%	447	1,122
MACHADO	23,170	12,818	55.32%	448	1,552
APARICIO	13,437	12,757	94.94%	449	2,680
SORIA	14,477	12,693	87.68%	450	2,495
ANGEL	24,895	12,674	50.91%	451	1,428
GARAY	14,393	12,654	87.92%	452	2,515
WALKER	523,129	12,607	2.41%	453	31
IRIZARRY	14,114	12,561	89.00%	454	2,560
LOERA	13,218	12,557	95.00%	455	2,726
GUAJARDO	13,438	12,534	93.27%	456	2,679
YOUNG	484,447	12,499	2.58%	457	32
JASSO	13,318	12,476	93.68%	458	2,707
VERGARA	15,618	12,412	79.47%	459	2,332
ULLOA	13,133	12,411	94.50%	460	2,743
JAIME	13,532	12,397	91.61%	461	2,665
ALCANTAR	12,919	12,389	95.90%	462	2,794
ELIAS	24,696	12,375	50.11%	463	1,443
GARIBAY	13,088	12,328	94.19%	464	2,755
MARES	14,931	12,318	82.50%	465	2,427
TIRADO	13,410	12,280	91.57%	466	2,685
BRIONES	15,098	12,278	81.32%	467	2,403
AGUAYO	12,876	12,239	95.05%	468	2,799
SANTILLAN	13,081	12,233	93.52%	469	2,756
GUARDADO	12,656	12,156	96.05%	470	2,848
MOTA	14,182	12,133	85.55%	471	2,547
FAJARDO	15,100	12,112	80.21%	472	2,402
SEGOVIA	13,182	12,098	91.78%	473	2,733
VALLES	13,777	12,080	87.68%	474	2,614
PADRON	13,114	12,075	92.08%	475	2,751
FIERRO	14,371	12,044	83.81%	476	2,519
MUNGUIA	12,615	12,042	95.46%	477	2,857
PEDRAZA	12,748	11,995	94.09%	478	2,829
JAUREGUI	12,783	11,950	93.48%	479	2,823
ALLEN	482,607	11,920	2.47%	480	33
LORENZO	17,825	11,898	66.75%	481	2,024
KING	465,422	11,868	2.55%	482	34
DUENAS	13,736	11,835	86.16%	483	2,627
ANGULO	12,714	11,830	93.05%	484	2,836
PRECIADO	12,455	11,815	94.86%	485	2,883
ZELAYA	12,448	11,709	94.06%	486	2,886
REGALADO	12,931	11,684	90.36%	487	2,791
ARMENDARIZ	12,423	11,680	94.02%	488	2,892
ROQUE	15,203	11,655	76.66%	489	2,388
MONTIEL	12,376	11,612	93.83%	490	2,896
LOMELI	12,263	11,602	94.61%	491	2,922
BARBOSA	18,106	11,566	63.88%	492	1,992
ALTAMIRANO	12,296	11,564	94.05%	493	2,915
LERMA	12,639	11,548	91.37%	494	2,852
BERRIOS	12,451	11,441	91.89%	495	2,885
ROLDAN	13,498	11,390	84.38%	496	2,671
MESA	13,566	11,357	83.72%	497	2,656
GREEN	430,182	11,357	2.64%	498	41
FERRER	17,057	11,351	66.55%	499	2,123
CARABALLO	12,546	11,342	90.40%	500	2,872
SCOTT	439,530	11,340	2.58%	501	36
BENAVIDEZ	12,648	11,329	89.57%	502	2,849
CACERES	12,269	11,260	91.78%	503	2,920
VALLADARES	11,901	11,236	94.41%	504	3,012
RAZO	12,125	11,206	92.42%	505	2,960
CINTRON	12,349	11,145	90.25%	506	2,906
BOLANOS	11,829	11,143	94.20%	507	3,029
MATEO	13,746	11,125	80.93%	508	2,623
JACOBO	11,590	11,090	95.69%	509	3,105
ALICEA	12,287	11,088	90.24%	510	2,917
QUINONEZ	11,576	11,035	95.33%	511	3,111
ESTRELLA	13,758	11,026	80.14%	512	2,618
CARREON	12,941	10,999	84.99%	513	2,789
ADAMS	427,865	10,996	2.57%	514	42
RUVALCABA	11,220	10,990	97.95%	515	3,217
RUELAS	11,505	10,982	95.45%	516	3,140
ALMONTE	12,128	10,981	90.54%	517	2,958
BELLO	16,915	10,942	64.69%	518	2,143
PORRAS	12,106	10,932	90.30%	519	2,962
HILL	434,827	10,914	2.51%	520	39
NELSON	424,958	10,836	2.55%	521	43
WRIGHT	458,980	10,832	2.36%	522	35
LOYA	12,232	10,816	88.42%	523	2,931
ZAMUDIO	11,384	10,778	94.68%	524	3,174
ALCARAZ	11,616	10,776	92.77%	525	3,098
FALCON	15,125	10,758	71.13%	526	2,398
BOTELLO	11,569	10,750	92.92%	527	3,113
CADENA	11,560	10,714	92.68%	528	3,117
ALBA	13,347	10,666	79.91%	529	2,699
CAMARENA	11,154	10,664	95.61%	530	3,237
CABRAL	23,128	10,664	46.11%	531	1,557
ARCHULETA	13,248	10,649	80.38%	532	2,717
VILLAGOMEZ	11,282	10,607	94.02%	533	3,201
CARLOS	15,462	10,605	68.59%	534	2,357
BALTAZAR	13,045	10,578	81.09%	535	2,767
LAZO	12,640	10,530	83.31%	536	2,850
URENA	11,066	10,527	95.13%	537	3,261
CEPEDA	11,572	10,498	90.72%	538	3,112
LANDEROS	10,934	10,481	95.86%	539	3,295
ARENAS	11,809	10,467	88.64%	540	3,035
NOLASCO	11,609	10,438	89.91%	541	3,102
DELVALLE	11,816	10,437	88.33%	542	3,033
ALANIS	11,029	10,422	94.50%	543	3,274
MERINO	11,684	10,396	88.98%	544	3,073
LARIOS	10,887	10,377	95.32%	545	3,299
SIFUENTES	10,954	10,376	94.72%	546	3,293
GODOY	11,690	10,361	88.63%	547	3,070
RODAS	11,327	10,349	91.37%	548	3,193
PEDROZA	10,918	10,327	94.59%	549	3,297
TELLO	11,512	10,321	89.65%	550	3,136
HARO	11,547	10,311	89.30%	551	3,122
ESTEVEZ	11,032	10,306	93.42%	552	3,273
SAUCEDA	11,093	10,254	92.44%	553	3,255
TRINIDAD	13,474	10,248	76.06%	554	2,677
CORRALES	11,348	10,225	90.10%	555	3,184
CAMARILLO	11,066	10,198	92.16%	556	3,261
BRISENO	10,821	10,194	94.21%	557	3,313
VILLATORO	10,535	10,168	96.52%	558	3,394
AMBRIZ	10,445	10,119	96.88%	559	3,416
FRANCISCO	24,095	10,101	41.92%	560	1,481
PICHARDO	10,572	10,095	95.49%	561	3,375
CEDILLO	10,538	10,080	95.65%	562	3,392
AMARO	11,769	10,074	85.60%	563	3,042
LLAMAS	11,028	10,067	91.29%	564	3,275
MENENDEZ	11,609	9,981	85.98%	565	3,102
SARMIENTO	13,710	9,918	72.34%	566	2,631
