Last_Name/Surname	Total1	American_Indian_and_Alaskan_Native2	Percentage3	Rank4	U.S._Rank5
STEVENS	185,674	2,469	1.33%	71	135
JIM	3,544	2,423	68.37%	72	9,203
WARD	260,464	2,370	0.91%	73	79
CHARLEY	4,201	2,360	56.18%	74	7,876
CHAVEZ	250,898	2,358	0.94%	75	83
RUSSELL	221,558	2,326	1.05%	76	104
HOWARD	264,826	2,304	0.87%	77	75
SANDOVAL	128,948	2,282	1.77%	78	233
SANCHEZ	612,752	2,267	0.37%	79	26
GRAY	246,116	2,240	0.91%	80	87
BELL	220,599	2,228	1.01%	81	106
BLACK	154,738	2,228	1.44%	82	174
BENNETT	247,599	2,179	0.88%	83	86
SAM	12,053	2,161	17.93%	84	2,974
WOOD	250,715	2,106	0.84%	85	84
MURPHY	308,417	2,097	0.68%	86	64
TURNER	348,627	2,092	0.60%	87	54
COOPER	280,791	2,078	0.74%	88	70
WATSON	252,579	2,071	0.82%	89	81
ROSS	229,368	2,064	0.90%	90	98
PETERSON	278,297	2,059	0.74%	91	71
SPENCER	139,951	2,057	1.47%	92	199
CURLEY	12,211	2,014	16.49%	93	2,936
FOSTER	227,764	2,004	0.88%	94	99
BROOKS	251,663	1,988	0.79%	95	82
HERNANDEZ	1,043,281	1,982	0.19%	96	11
HARVEY	115,662	1,978	1.71%	97	266
RODRIGUEZ	1,094,924	1,971	0.18%	98	9
LOWERY	43,278	1,939	4.48%	99	799
SANDERS	230,374	1,935	0.84%	100	94
HENDERSON	218,393	1,878	0.86%	101	109
GIBSON	190,667	1,849	0.97%	102	130
CUMMINGS	79,316	1,848	2.33%	103	403
BUTLER	218,847	1,838	0.84%	104	108
PETERS	137,513	1,829	1.33%	105	205
PERRY	221,741	1,796	0.81%	106	103
MARSHALL	183,922	1,766	0.96%	107	139
COX	261,231	1,750	0.67%	108	78
WILLIS	130,152	1,731	1.33%	109	230
BAILEY	277,845	1,723	0.62%	110	72
TOM	10,350	1,721	16.63%	111	3,452
BRYANT	192,773	1,716	0.89%	112	128
TSO	3,249	1,709	52.60%	113	9,931
HARJO	2,172	1,662	76.52%	114	13,903
HUNTER	162,440	1,657	1.02%	115	160
BARNES	218,241	1,637	0.75%	116	110
GONZALES	214,758	1,632	0.76%	117	111
FISHER	214,703	1,632	0.76%	118	112
WEST	195,818	1,625	0.83%	119	125
FRANCIS	78,327	1,621	2.07%	120	413
HAMILTON	201,746	1,614	0.80%	121	119
GRAHAM	201,159	1,609	0.80%	122	120
FREEMAN	169,149	1,607	0.95%	123	151
PAUL	78,256	1,604	2.05%	124	415
BULLARD	23,755	1,601	6.74%	125	1,509
HAYES	194,246	1,573	0.81%	126	127
FOX	152,334	1,569	1.03%	127	180
WEAVER	143,837	1,568	1.09%	128	192
BOYD	153,469	1,565	1.02%	129	176
WOODS	177,425	1,561	0.88%	130	144
PRICE	235,251	1,553	0.66%	131	91
HICKS	158,320	1,552	0.98%	132	170
GRANT	142,277	1,537	1.08%	133	196
WELLS	176,230	1,533	0.87%	134	147
SAMPSON	39,277	1,532	3.90%	135	886
DIXON	159,480	1,531	0.96%	136	167
WALLACE	197,276	1,519	0.77%	137	123
JORDAN	208,403	1,501	0.72%	138	116
FRANK	67,304	1,501	2.23%	139	499
PATEL	229,973	1,495	0.65%	140	95
BILLY	3,621	1,482	40.93%	141	9,027
FLORES	433,969	1,475	0.34%	142	40
BEGAYE	1,540	1,473	95.65%	143	18,090
PIERCE	138,629	1,469	1.06%	144	202
BAHE	2,011	1,459	72.55%	145	14,768
ANDREWS	133,799	1,458	1.09%	146	218
STONE	153,329	1,457	0.95%	147	178
STRICKLAND	67,769	1,457	2.15%	148	494
KELLY	267,394	1,444	0.54%	149	74
ROMERO	208,614	1,439	0.69%	150	115
ANTONE	3,493	1,435	41.08%	151	9,320
ALEXANDER	204,621	1,432	0.70%	152	118
REYNOLDS	200,247	1,422	0.71%	153	121
SIMMONS	210,182	1,408	0.67%	154	114
MCDONALD	180,497	1,408	0.78%	155	143
COLE	195,289	1,406	0.72%	156	126
PATTERSON	205,423	1,397	0.68%	157	117
BREWER	103,318	1,395	1.35%	158	303
POWELL	224,874	1,394	0.62%	159	101
BILLIOT	3,272	1,378	42.11%	160	9,881
OWENS	182,719	1,370	0.75%	161	140
ROBERTSON	153,666	1,368	0.89%	162	175
PEREZ	681,645	1,363	0.20%	163	22
CASTILLO	230,420	1,359	0.59%	164	93
RICHARDS	130,529	1,358	1.04%	165	228
SINGH	116,749	1,343	1.15%	166	260
DUNCAN	135,187	1,338	0.99%	167	212
LITTLE	105,936	1,335	1.26%	168	291
DANIELS	146,570	1,334	0.91%	169	187
FIELDS	107,522	1,333	1.24%	170	288
TUCKER	167,446	1,306	0.78%	171	153
BURNS	165,925	1,294	0.78%	172	155
WARREN	152,147	1,278	0.84%	173	181
SIMPSON	163,181	1,273	0.78%	174	158
JENKINS	222,653	1,269	0.57%	175	102
PALMER	156,601	1,268	0.81%	176	172
CHARLES	61,211	1,267	2.07%	177	548
MYERS	229,895	1,264	0.55%	178	96
SULLIVAN	220,990	1,260	0.57%	179	105
LYNCH	117,708	1,259	1.07%	180	259
ARMSTRONG	135,044	1,256	0.93%	181	213
FRAZIER	92,152	1,253	1.36%	182	335
HUGHES	236,271	1,252	0.53%	183	90
ELLIS	188,968	1,247	0.66%	184	131
MILLS	151,942	1,246	0.82%	185	182
MOSES	39,216	1,239	3.16%	186	887
RAY	133,171	1,238	0.93%	187	220
LANE	134,227	1,235	0.92%	188	216
CRAWFORD	164,457	1,233	0.75%	189	156
KNIGHT	136,713	1,230	0.90%	190	209
MASON	160,213	1,218	0.76%	191	166
LAMBERT	93,678	1,218	1.30%	192	329
WELCH	108,987	1,210	1.11%	193	284
BYRD	92,904	1,208	1.30%	194	331
WASHINGTON	177,386	1,206	0.68%	195	145
LAWRENCE	129,699	1,206	0.93%	196	232
SHAW	160,400	1,203	0.75%	197	164
TRUJILLO	73,664	1,201	1.63%	198	448
HOLMES	156,780	1,192	0.76%	199	171
MORRISON	121,130	1,187	0.98%	200	250
TOLEDO	19,474	1,186	6.09%	201	1,841
OLSON	164,035	1,181	0.72%	202	157
GONZALEZ	841,025	1,177	0.14%	203	13
PORTER	163,054	1,174	0.72%	204	159
RILEY	133,872	1,165	0.87%	205	217
WHEELER	125,058	1,163	0.93%	206	243
COLEMAN	219,070	1,161	0.53%	207	107
LUCERO	39,986	1,156	2.89%	208	865
WOLFE	83,928	1,150	1.37%	209	374
DAY	105,091	1,135	1.08%	210	294
HUDSON	134,963	1,134	0.84%	211	214
FORD	184,832	1,127	0.61%	212	137
STANLEY	96,867	1,124	1.16%	213	321
BRADLEY	136,720	1,121	0.82%	214	208
WILLIE	5,025	1,119	22.27%	215	6,720
RAMIREZ	557,423	1,115	0.20%	216	28
WEBB	168,878	1,115	0.66%	217	152
MURRAY	184,910	1,109	0.60%	218	136
RICE	149,500	1,106	0.74%	219	184
NICHOLS	145,584	1,106	0.76%	220	189
MANN	83,510	1,102	1.32%	221	378
GORDON	161,833	1,100	0.68%	222	161
JOHNSTON	131,373	1,090	0.83%	223	225
FRANCISCO	24,095	1,084	4.50%	224	1,481
BILLIE	2,517	1,082	42.99%	225	12,351
KENNEDY	176,865	1,079	0.61%	226	146
ORTIZ	286,899	1,062	0.37%	227	68
BERRY	132,812	1,062	0.80%	228	222
CURTIS	101,801	1,049	1.03%	229	309
JEFFERSON	55,179	1,048	1.90%	230	615
DIAL	10,997	1,043	9.48%	231	3,287
CHAPMAN	127,939	1,036	0.81%	232	236
HALE	86,618	1,031	1.19%	233	362
AZURE	1,508	1,022	67.77%	234	18,366
HAMMONDS	12,710	1,016	7.99%	235	2,839
STEELE	88,230	1,015	1.15%	236	355
MONTOYA	71,844	1,006	1.40%	237	459
FOWLER	104,515	1,003	0.96%	238	299
WEBSTER	72,625	1,002	1.38%	239	453
HART	137,184	1,001	0.73%	240	207
FRANKLIN	120,621	1,001	0.83%	241	251
GARDNER	142,894	1,000	0.70%	242	194
JOSEPH	100,959	999	0.99%	243	313
CLOUD	14,555	997	6.85%	244	2,478
MCCOY	110,744	986	0.89%	245	278
BIRD	33,457	984	2.94%	246	1,041
HERRERA	192,711	983	0.51%	247	129
ROSE	153,397	982	0.64%	248	177
PETE	4,619	973	21.07%	249	7,228
AGUILAR	186,512	970	0.52%	250	134
STEPHENS	144,646	969	0.67%	251	190
MANUEL	27,529	966	3.51%	252	1,277
KEE	9,049	965	10.66%	253	3,932
HAWKINS	139,751	964	0.69%	254	200
HARDY	80,252	963	1.20%	255	399
LARGO	1,924	961	49.95%	256	15,268
PERKINS	131,440	960	0.73%	257	223
ANTONIO	15,461	959	6.20%	258	2,358
AUSTIN	119,706	958	0.80%	259	253
VALENZUELA	57,383	958	1.67%	260	584
GOMEZ	365,655	951	0.26%	261	51
JENSEN	115,679	949	0.82%	262	265
ETSITTY	975	936	96.00%	263	25,381
WOODY	18,434	935	5.07%	264	1,960
GRIFFIN	198,406	933	0.47%	265	122
KELLEY	140,693	929	0.66%	266	198
TIGER	2,428	924	38.06%	267	12,715
GREENE	126,101	921	0.73%	268	241
JOHNS	47,246	921	1.95%	269	739
LOWRY	24,895	911	3.66%	270	1,428
FERGUSON	146,426	908	0.62%	271	188
SHIRLEY	27,224	907	3.33%	272	1,292
ASHLEY	38,499	905	2.35%	273	900
CRUZ	334,201	902	0.27%	274	57
CARROLL	134,317	900	0.67%	275	215
ELLIOTT	135,765	896	0.66%	276	210
HARPER	124,461	896	0.72%	277	245
SHORTY	1,404	896	63.82%	278	19,291
BARTON	68,233	894	1.31%	279	488
TYLER	66,056	892	1.35%	280	509
HOPKINS	96,810	891	0.92%	281	322
ALVAREZ	233,983	889	0.38%	282	92
CLEVELAND	31,123	887	2.85%	283	1,127
LOWE	92,260	886	0.96%	284	334
CARPENTER	129,898	883	0.68%	285	231
STARR	30,363	881	2.90%	286	1,158
TORRES	437,813	876	0.20%	287	37
PROCTOR	35,636	870	2.44%	288	977
BEAR	8,252	869	10.53%	289	4,308
PLATERO	2,002	862	43.06%	290	14,814
BARNETT	95,681	861	0.90%	291	324
DICK	20,923	860	4.11%	292	1,718
OLIVER	115,900	858	0.74%	293	264
LYONS	84,516	854	1.01%	294	369
BECENTI	917	853	93.02%	295	26,576
VERDIN	5,515	851	15.43%	296	6,200
VALENCIA	70,000	847	1.21%	297	475
NORRIS	89,796	844	0.94%	298	346
MONROE	55,136	844	1.53%	299	617
BEN	3,386	843	24.90%	300	9,596
WAGNER	155,795	841	0.54%	301	173
BOWMAN	105,007	840	0.80%	302	296
DECOTEAU	2,194	837	38.15%	303	13,786
DUNN	141,427	834	0.59%	304	197
SNYDER	160,262	833	0.52%	305	165
PADILLA	105,365	832	0.79%	306	293
PAYNE	142,601	827	0.58%	307	195
ROY	53,159	819	1.54%	308	640
LIVINGSTON	42,103	817	1.94%	309	821
PABLO	6,462	814	12.60%	310	5,384
WATKINS	127,083	813	0.64%	311	240
VALDEZ	124,995	812	0.65%	312	244
CHARLIE	1,402	811	57.85%	313	19,306
HOWELL	112,041	807	0.72%	314	272
SHARP	78,990	806	1.02%	315	405
WILLIAMSON	114,959	805	0.70%	316	267
VIGIL	29,382	805	2.74%	317	1,205
BARBER	78,848	804	1.02%	318	406
POITRA	1,119	804	71.85%	319	22,880
PINO	10,993	800	7.28%	320	3,288
SLOAN	43,261	796	1.84%	321	800
EAGLE	8,325	795	9.55%	322	4,261
GILBERT	114,940	793	0.69%	323	268
REYES	327,904	787	0.24%	324	60
DENNY	17,503	782	4.47%	325	2,062
DEAN	114,030	775	0.68%	326	269
LAWSON	119,053	774	0.65%	327	256
CHASE	52,481	771	1.47%	328	649
ARNOLD	138,893	764	0.55%	329	201
MATTHEWS	131,303	762	0.58%	330	226
HOLT	87,531	762	0.87%	331	358
DAVID	44,040	762	1.73%	332	782
LARSON	122,587	760	0.62%	333	247
NORTON	63,722	758	1.19%	334	531
PERSON	67,411	755	1.12%	335	496
MAY	103,306	754	0.73%	336	304
RIVERS	38,662	754	1.95%	337	897
BLUE	24,341	752	3.09%	338	1,466
BALDWIN	80,742	751	0.93%	339	395
KIRK	54,394	751	1.38%	340	623
JACK	15,256	751	4.92%	341	2,382
HANSON	111,144	745	0.67%	342	276
BOONE	53,792	742	1.38%	343	632
HOFFMAN	131,401	736	0.56%	344	224
MCKINNEY	83,616	736	0.88%	345	377
COCHRAN	59,350	736	1.24%	346	567
WOLF	70,031	735	1.05%	347	474
GUTIERREZ	293,218	733	0.25%	348	67
WALTERS	89,376	733	0.82%	349	350
LOGAN	67,909	733	1.08%	350	492
JUAN	7,350	732	9.96%	351	4,808
GOODMAN	73,136	731	1.00%	352	451
FARMER	69,617	731	1.05%	353	480
MORENO	196,925	729	0.37%	354	124
MIKE	3,930	729	18.55%	355	8,408
BATES	95,622	727	0.76%	356	325
MCCABE	30,401	724	2.38%	357	1,154
CRAIG	92,507	722	0.78%	358	332
WADE	97,040	718	0.74%	359	319
ANDREW	13,764	716	5.20%	360	2,617
YELLOWHAIR	758	716	94.46%	361	30,735
ROBBINS	78,381	713	0.91%	362	410
DOUGLAS	101,458	710	0.70%	363	311
FRENCH	63,991	710	1.11%	364	525
BIA	859	709	82.54%	365	27,918
MAYNOR	4,732	709	14.98%	366	7,074
MONTGOMERY	115,953	707	0.61%	367	263
CROSS	77,557	706	0.91%	368	420
ALLISON	52,701	706	1.34%	369	646
RIVERA	391,114	704	0.18%	370	46
LEONARD	91,475	704	0.77%	371	338
JANIS	4,233	704	16.63%	372	7,821
CARR	119,076	703	0.59%	373	255
NEWMAN	101,931	703	0.69%	374	307
SALAZAR	152,703	702	0.46%	375	179
BURGESS	73,931	702	0.95%	376	444
BRADY	73,145	702	0.96%	377	450
MORAN	88,615	700	0.79%	378	353
CROWE	29,953	698	2.33%	379	1,172
DURAN	89,401	697	0.78%	380	349
CALDWELL	93,944	695	0.74%	381	327
FULLER	110,116	694	0.63%	382	281
SHERMAN	70,502	691	0.98%	383	469
MANYGOATS	737	691	93.76%	384	31,412
WATTS	89,649	690	0.77%	385	348
BUSH	84,018	689	0.82%	386	372
BELGARDE	1,198	689	57.51%	387	21,717
GREGORY	91,384	685	0.75%	388	339
WATCHMAN	940	684	72.77%	389	26,067
BEAVER	21,640	677	3.13%	390	1,665
HANSEN	137,977	676	0.49%	391	204
DAVIDSON	103,930	676	0.65%	392	301
SNOW	47,528	675	1.42%	393	734
PINTO	21,366	673	3.15%	394	1,687
SINGER	25,828	666	2.58%	395	1,366
BISHOP	116,618	665	0.57%	396	262
BURKE	122,877	664	0.54%	397	246
GARRETT	110,697	664	0.60%	398	279
BENSON	86,081	663	0.77%	399	365
MILES	84,942	663	0.78%	400	368
ARTHUR	28,102	663	2.36%	401	1,247
VAUGHN	88,060	660	0.75%	402	356
STRONG	45,432	659	1.45%	403	760
MORIN	29,593	657	2.22%	404	1,194
CUNNINGHAM	135,718	651	0.48%	405	211
TENORIO	8,629	651	7.54%	406	4,111
SPEARS	41,665	650	1.56%	407	830
WESLEY	23,135	639	2.76%	408	1,555
SANDERSON	24,384	639	2.62%	409	1,462
JOSE	10,697	636	5.95%	410	3,348
RANDALL	54,764	635	1.16%	411	621
HUBBARD	70,362	633	0.90%	412	470
SOLOMON	46,534	633	1.36%	413	745
REEVES	81,978	631	0.77%	414	390
SILVA	161,633	630	0.39%	415	163
BURNETTE	16,717	630	3.77%	416	2,172
PELTIER	7,140	628	8.80%	417	4,927
PATRICK	60,845	627	1.03%	418	552
PARRISH	49,733	627	1.26%	419	694
ENOS	8,097	627	7.74%	420	4,392
SUMMERS	56,953	626	1.10%	421	591
SIMS	113,374	624	0.55%	422	270
REID	111,360	624	0.56%	423	275
NEAL	91,694	624	0.68%	424	337
HENSON	48,013	624	1.30%	425	728
GOODWIN	72,451	623	0.86%	426	454
GORMAN	31,788	623	1.96%	427	1,100
UNDERWOOD	57,064	622	1.09%	428	588
BARRETT	100,104	621	0.62%	429	314
MOLINA	96,979	621	0.64%	430	320
DENNIS	78,482	620	0.79%	431	409
BLAKE	73,797	620	0.84%	432	447
SUTTON	90,964	619	0.68%	433	341
ADKINS	73,599	618	0.84%	434	449
HOLIDAY	6,881	618	8.98%	435	5,089
VASQUEZ	212,781	617	0.29%	436	113
RYAN	143,452	617	0.43%	437	193
PRATT	61,671	617	1.00%	438	541
FLETCHER	83,063	615	0.74%	439	382
HORN	52,138	615	1.18%	440	655
BUCK	42,639	610	1.43%	441	812
ABEITA	936	610	65.17%	442	26,143
TERRY	87,000	609	0.70%	443	361
MANNING	74,949	607	0.81%	444	434
SHELTON	90,517	606	0.67%	445	344
LINCOLN	16,477	606	3.68%	446	2,209
REVELS	4,683	605	12.92%	447	7,141
BRUCE	53,419	604	1.13%	448	636
CODY	19,600	604	3.08%	449	1,828
HOUSE	41,000	603	1.47%	450	844
HARDIN	42,469	599	1.41%	451	817
GRAVES	84,179	598	0.71%	452	371
DALE	29,757	598	2.01%	453	1,188
DEESE	6,626	598	9.03%	454	5,265
TATE	71,058	597	0.84%	455	467
MASSEY	55,595	595	1.07%	456	610
PARKS	88,586	594	0.67%	457	354
JENNINGS	89,700	592	0.66%	458	347
CARLSON	120,552	591	0.49%	459	252
BECK	93,786	591	0.63%	460	328
ARVISO	1,221	590	48.32%	461	21,413
FAIRBANKS	9,466	589	6.22%	462	3,743
HORTON	85,195	588	0.69%	463	367
NAKAI	1,205	588	48.80%	464	21,633
HOLLAND	102,538	584	0.57%	465	305
MENDOZA	242,771	583	0.24%	466	88
PATTON	66,293	583	0.88%	467	506
HENDRICKS	43,197	583	1.35%	468	802
WATERS	67,929	577	0.85%	469	491
WAUNEKA	591	569	96.28%	470	37,646
MCDANIEL	88,728	568	0.64%	471	352
CLY	698	568	81.38%	472	32,865
BARKER	87,162	567	0.65%	473	360
SMALL	40,212	567	1.41%	474	861
CROW	24,089	566	2.35%	475	1,482
MEDINA	188,497	565	0.30%	476	133
HOULE	8,364	565	6.76%	477	4,239
BURTON	110,529	564	0.51%	478	280
POTTER	72,175	563	0.78%	479	457
VANN	15,416	563	3.65%	480	2,366
RHODES	90,670	562	0.62%	481	343
GOINS	22,837	562	2.46%	482	1,574
BACA	28,082	562	2.00%	483	1,249
LUCAS	107,690	560	0.52%	484	286
PACHECO	77,642	559	0.72%	485	419
DIAZ	347,636	556	0.16%	486	55
DANIEL	80,526	556	0.69%	487	396
TANNER	48,813	556	1.14%	488	709
TELLER	3,814	556	14.58%	489	8,623
HOOD	55,174	552	1.00%	490	616
CHAMBERS	94,988	551	0.58%	491	326
ALBERT	32,507	549	1.69%	492	1,076
RAMSEY	78,350	548	0.70%	493	412
TOWNSEND	69,360	548	0.79%	494	483
ORTEGA	127,256	547	0.43%	495	239
HARMON	74,737	546	0.73%	496	438
ISAAC	18,903	546	2.89%	497	1,898
SKENANDORE	775	546	70.45%	498	30,222
RIGGS	34,506	545	1.58%	499	1,011
MCGEE	74,542	544	0.73%	500	439
LUJAN	22,021	544	2.47%	501	1,637
LESTER	44,784	542	1.21%	502	768
PAGE	82,992	539	0.65%	503	383
SIMON	80,460	539	0.67%	504	397
APACHITO	550	539	98.00%	505	39,887
CHANDLER	79,186	538	0.68%	506	404
SHEPHERD	60,479	538	0.89%	507	557
HOWE	42,265	537	1.27%	508	820
GOULD	38,924	537	1.38%	509	891
BEDONIE	549	537	97.81%	510	39,960
BOWEN	78,822	536	0.68%	511	407
OWEN	61,630	536	0.87%	512	543
BARNEY	16,404	535	3.26%	513	2,224
MIGUEL	10,861	532	4.90%	514	3,303
YORK	53,059	531	1.00%	515	642
MELTON	50,069	531	1.06%	516	688
MORALES	311,777	530	0.17%	517	63
DENNISON	14,629	530	3.62%	518	2,465
SLIM	862	530	61.48%	519	27,845
SILVERSMITH	802	529	65.96%	520	29,447
RUIZ	238,234	524	0.22%	521	89
GRIFFITH	78,260	524	0.67%	522	414
KEITH	48,487	524	1.08%	523	718
BLAIR	78,026	523	0.67%	524	416
MOSS	76,908	523	0.68%	525	423
WILKINS	58,634	522	0.89%	526	570
THORNTON	83,967	521	0.62%	527	373
BOOTH	49,402	519	1.05%	528	697
HICKMAN	41,163	519	1.26%	529	838
WHITEMAN	7,642	518	6.78%	530	4,645
CORNELIUS	20,160	518	2.57%	531	1,775
DODSON	37,566	518	1.38%	532	927
BEIL	59,463	517	0.87%	533	565
CALABAZA	546	514	94.14%	534	40,144
WARNER	83,781	511	0.61%	535	375
MCBRIDE	63,899	511	0.80%	536	527
MCMILLAN	40,237	511	1.27%	537	860
MORTON	59,213	509	0.86%	538	568
POWERS	91,970	506	0.55%	539	336
MALONE	71,286	506	0.71%	540	465
MANUELITO	553	506	91.50%	541	39,717
BALLARD	61,625	505	0.82%	542	544
POTTS	38,277	505	1.32%	543	902
NEWTON	74,092	504	0.68%	544	443
SAUNDERS	69,943	504	0.72%	545	476
SWAN	23,001	504	2.19%	546	1,564
RAMOS	263,464	501	0.19%	547	76
HENSLEY	51,081	501	0.98%	548	668
SCHMIDT	147,034	500	0.34%	549	185
HAMPTON	69,472	500	0.72%	550	482
HAWK	16,884	500	2.96%	551	2,149
HAYNES	85,974	499	0.58%	552	366
PRESTON	47,367	497	1.05%	553	736
DILLON	50,465	495	0.98%	554	683
BREWINGTON	5,366	495	9.22%	555	6,352
SHORT	57,477	494	0.86%	556	581
EMERSON	30,702	494	1.61%	557	1,145
PARFAIT	1,117	494	44.23%	558	22,906
MOODY	64,429	490	0.76%	559	519
AMOS	23,621	489	2.07%	560	1,517
DARDAR	1,111	489	44.01%	561	23,002
TODD	71,759	488	0.68%	562	460
RODGERS	76,095	487	0.64%	563	428
WISE	68,649	487	0.71%	564	485
CLAW	518	485	93.63%	565	41,959
FISH	24,924	484	1.94%	566	1,425
BURRIS	26,760	484	1.81%	567	1,312
SHIELDS	50,832	483	0.95%	568	672
ROCK	19,313	483	2.50%	569	1,859
NICHOLAS	27,922	483	1.73%	570	1,258
HAMMOND	69,515	480	0.69%	571	481
DICKSON	35,312	480	1.36%	572	986
PESHLAKAI	526	480	91.25%	573	41,359
WHITEHORSE	567	480	84.66%	574	38,902
NAQUIN	4,617	478	10.35%	575	7,230
ARAGON	25,801	475	1.84%	576	1,367
DAWSON	83,182	474	0.57%	577	380
FLEMING	90,677	472	0.52%	578	342
TAFOYA	10,114	470	4.65%	579	3,532
NASH	58,714	470	0.80%	580	569
SPARKS	63,440	469	0.74%	581	533
ERICKSON	82,085	468	0.57%	582	389
ALEXIE	627	468	74.64%	583	35,812
FINLEY	37,672	467	1.24%	584	922
CASEY	66,556	466	0.70%	585	504
BROCK	61,369	466	0.76%	586	546
MCKAY	38,681	464	1.20%	587	895
CLAY	48,844	459	0.94%	588	708
BARR	44,130	459	1.04%	589	781
MCINTOSH	42,379	458	1.08%	590	819
ROANHORSE	499	458	91.78%	591	43,285
HAIL	86,240	457	0.53%	592	364
COLBERT	22,940	457	1.99%	593	1,570
BORDEAUX	3,138	456	14.53%	594	10,274
BANKS	105,833	455	0.43%	595	292
JIMENEZ	227,118	454	0.20%	596	100
KELLER	98,268	452	0.46%	597	317
FLOYD	66,454	452	0.68%	598	505
SILAS	4,729	452	9.56%	599	7,080
CHRISTENSEN	75,143	451	0.60%	600	433
PARSONS	67,310	451	0.67%	601	498
OLSEN	59,356	451	0.76%	602	566
MOON	45,528	451	0.99%	603	758
JAKE	948	451	47.57%	604	25,924
BURNETT	60,791	450	0.74%	605	554
GIBBS	65,064	449	0.69%	606	515
HIGGINS	79,803	447	0.56%	607	400
FOREMAN	28,605	446	1.56%	608	1,234
HOOPER	34,247	445	1.30%	609	1,020
CARSON	56,872	444	0.78%	610	593
MARKS	49,177	443	0.90%	611	703
SELLERS	42,577	443	1.04%	612	814
GLASS	41,802	443	1.06%	613	823
DRAPER	24,337	443	1.82%	614	1,467
CASTRO	184,134	442	0.24%	615	138
PERSAUD	11,956	442	3.70%	616	3,000
GILL	74,948	442	0.59%	617	435
MCKENZIE	59,595	441	0.74%	618	563
BLEVINS	38,229	440	1.15%	619	906
OBRIEN	118,557	439	0.37%	620	258
BASS	57,044	439	0.77%	621	589
WILCOX	56,286	439	0.78%	622	602
MEYER	150,895	438	0.29%	623	183
CLINE	50,258	437	0.87%	624	684
REDHOUSE	510	437	85.69%	625	42,511
WALL	53,794	436	0.81%	626	631
MAXWELL	67,961	435	0.64%	627	490
